TeamID,TeamName,ProjectName,ProjectDomain,ProblemStatement,Solution,TechStack,ProjectStatus,MemberID,MemberName,Role,Responsibilities
T001,Alpha Innovators,Smart Waste Management System,Smart City,Cities struggle with overflowing waste bins,IoT-based waste monitoring and route optimization,"React, FastAPI, PostgreSQL, Python",Completed,M001,Member_1,Frontend Developer,"Build UI, pages and user experience"
T001,Alpha Innovators,Smart Waste Management System,Smart City,Cities struggle with overflowing waste bins,IoT-based waste monitoring and route optimization,"React, FastAPI, PostgreSQL, Python",Completed,M002,Member_2,Backend Developer,"Develop APIs, authentication and database integration"
T001,Alpha Innovators,Smart Waste Management System,Smart City,Cities struggle with overflowing waste bins,IoT-based waste monitoring and route optimization,"React, FastAPI, PostgreSQL, Python",Completed,M003,Member_3,Data Analyst,"Analyze data, generate reports and insights"
T001,Alpha Innovators,Smart Waste Management System,Smart City,Cities struggle with overflowing waste bins,IoT-based waste monitoring and route optimization,"React, FastAPI, PostgreSQL, Python",Completed,M004,Member_4,Project Manager,"Manage planning, tasks and team coordination"
T002,Data Wizards,AI Student Performance Predictor,Education,Institutions struggle to identify at-risk students,Predict student performance using analytics,"React, Python, Scikit-Learn, PostgreSQL",Ongoing,M005,Member_5,Frontend Developer,"Build UI, pages and user experience"
T002,Data Wizards,AI Student Performance Predictor,Education,Institutions struggle to identify at-risk students,Predict student performance using analytics,"React, Python, Scikit-Learn, PostgreSQL",Ongoing,M006,Member_6,Backend Developer,"Develop APIs, authentication and database integration"
T002,Data Wizards,AI Student Performance Predictor,Education,Institutions struggle to identify at-risk students,Predict student performance using analytics,"React, Python, Scikit-Learn, PostgreSQL",Ongoing,M007,Member_7,Data Analyst,"Analyze data, generate reports and insights"
T002,Data Wizards,AI Student Performance Predictor,Education,Institutions struggle to identify at-risk students,Predict student performance using analytics,"React, Python, Scikit-Learn, PostgreSQL",Ongoing,M008,Member_8,Project Manager,"Manage planning, tasks and team coordination"
T003,Tech Titans,Hospital Appointment Management,Healthcare,Long patient waiting times,Digital appointment booking and scheduling,"React, Node.js, MongoDB",Completed,M009,Member_9,Frontend Developer,"Build UI, pages and user experience"
T003,Tech Titans,Hospital Appointment Management,Healthcare,Long patient waiting times,Digital appointment booking and scheduling,"React, Node.js, MongoDB",Completed,M010,Member_10,Backend Developer,"Develop APIs, authentication and database integration"
T003,Tech Titans,Hospital Appointment Management,Healthcare,Long patient waiting times,Digital appointment booking and scheduling,"React, Node.js, MongoDB",Completed,M011,Member_11,Data Analyst,"Analyze data, generate reports and insights"
T003,Tech Titans,Hospital Appointment Management,Healthcare,Long patient waiting times,Digital appointment booking and scheduling,"React, Node.js, MongoDB",Completed,M012,Member_12,Project Manager,"Manage planning, tasks and team coordination"
